,"a,a","a,d","a,h","a,l","a,r","a,v","d,a","d,d","d,h","d,l","d,r","d,v","h,a","h,d","h,h","h,l","h,r","h,v","l,a","l,d","l,h","l,l","l,r","l,v","r,a","r,d","r,h","r,l","r,r","r,v","v,a","v,d","v,h","v,l","v,r","v,v"
"l,v",74570170.5,-78571849.5,-3212739.0,-3531967.5,-2566977.0,-503314.5,-78048811.5,75375181.5,1425936.0,-3195207.0,3136036.5,-2821191.0,-349179.0,-1008090.0,107383.5,-162171.0,-2165202.0,-1433241.0,-2122102.5,-2453749.5,-6529939.5,72830850.0,-76793082.0,1067260.5,-1678689.0,-2737183.5,4260276.0,-80813754.0,76262739.0,-5669410.5,825465.0,-2354401.5,-1198020.0,-4993698.0,2827035.0,-137334.0
"r,a",-117291069.0,123585291.0,5053302.0,5555415.0,4037586.0,791661.0,122762607.0,-118557267.0,-2242848.0,5025726.0,-4932657.0,4437438.0,549222.0,1585620.0,-168903.0,255078.0,3405636.0,2254338.0,3337845.0,3859491.0,10270911.0,-114555300.0,120787476.0,-1678689.0,2640402.0,4305303.0,-6700968.0,127111572.0,-119953302.0,8917389.0,-1298370.0,3703227.0,1884360.0,7854564.0,-4446630.0,216012.0
"r,d",-191248753.5,201511786.5,8239653.0,9058372.5,6583479.0,1290841.5,200170360.5,-193313350.5,-3657072.0,8194689.0,-8042935.5,7235457.0,895533.0,2585430.0,-275404.5,415917.0,5553054.0,3675807.0,5442517.5,6293086.5,16747216.5,-186787950.0,196949814.0,-2737183.5,4305303.0,7020004.5,-10926252.0,207261558.0,-195589653.0,14540233.5,-2117055.0,6038290.5,3072540.0,12807246.0,-7250445.0,352218.0
"r,h",297668196.0,-313642044.0,-12824568.0,-14098860.0,-10246824.0,-2009124.0,-311554188.0,300881628.0,5692032.0,-12754584.0,12518388.0,-11261592.0,-1393848.0,-4024080.0,428652.0,-647352.0,-8643024.0,-5721192.0,-8470980.0,-9794844.0,-26066124.0,290725200.0,-306541584.0,4260276.0,-6700968.0,-10926252.0,17006112.0,-322591248.0,304424568.0,-22631076.0,3295080.0,-9398268.0,-4782240.0,-19933776.0,11284920.0,-548208.0
"r,l",-5646508434.0,5949518526.0,243270972.0,267443190.0,194373396.0,38111346.0,5909913702.0,-5707464462.0,-107972928.0,241943436.0,-237463002.0,213622668.0,26440092.0,76333320.0,-8131158.0,12279708.0,163950696.0,108526068.0,160687170.0,185799726.0,494451846.0,-5514805800.0,5814828936.0,-80813754.0,127111572.0,207261558.0,-322591248.0,6119277192.0,-5774670972.0,429291954.0,-62504820.0,178277022.0,90714960.0,378126504.0,-214065180.0,10399032.0
"r,r",5328526119.0,-5614472241.0,-229571202.0,-252382165.0,-183427286.0,-35965111.0,-5577097757.0,5386049417.0,101892448.0,-228318426.0,224090307.0,-201592538.0,-24951122.0,-72034620.0,7673253.0,-11588178.0,-154717836.0,-102414438.0,-151638095.0,-175336441.0,-466606861.0,5204240300.0,-5487367676.0,76262739.0,-119953302.0,-195589653.0,304424568.0,-5774670972.0,5449471202.0,-405116439.0,58984870.0,-168237377.0,-85606360.0,-356832364.0,202010130.0,-9813412.0
"r,v",-396125320.5,417382699.5,17066439.0,18762217.5,13636077.0,2673664.5,414604261.5,-400401631.5,-7574736.0,16973307.0,-16658986.5,14986491.0,1854879.0,5355090.0,-570433.5,861471.0,11501802.0,7613541.0,11272852.5,13034599.5,34687789.5,-386885850.0,407933682.0,-5669410.5,8917389.0,14540233.5,-22631076.0,429291954.0,-405116439.0,30116560.5,-4384965.0,12506851.5,6364020.0,26527098.0,-15017535.0,729534.0
"v,a",57675765.0,-60770835.0,-2484870.0,-2731775.0,-1985410.0,-389285.0,-60366295.0,58298395.0,1102880.0,-2471310.0,2425545.0,-2182030.0,-270070.0,-779700.0,83055.0,-125430.0,-1674660.0,-1108530.0,-1641325.0,-1897835.0,-5050535.0,56330500.0,-59395060.0,825465.0,-1298370.0,-2117055.0,3295080.0,-62504820.0,58984870.0,-4384965.0,638450.0,-1820995.0,-926600.0,-3862340.0,2186550.0,-106220.0
"v,d",-164503531.5,173331328.5,7087377.0,7791602.5,5662811.0,1110323.5,172177494.5,-166279404.5,-3145648.0,7048701.0,-6918169.5,6223613.0,770297.0,2223870.0,-236890.5,357753.0,4776486.0,3161763.0,4681407.5,5413028.5,14405198.5,-160666550.0,169407326.0,-2354401.5,3703227.0,6038290.5,-9398268.0,178277022.0,-168237377.0,12506851.5,-1820995.0,5193864.5,2642860.0,11016214.0,-6236505.0,302962.0
"v,h",-83706420.0,88198380.0,3606360.0,3964700.0,2881480.0,564980.0,87611260.0,-84610060.0,-1600640.0,3586680.0,-3520260.0,3166840.0,391960.0,1131600.0,-120540.0,182040.0,2430480.0,1608840.0,2382100.0,2754380.0,7329980.0,-81754000.0,86201680.0,-1198020.0,1884360.0,3072540.0,-4782240.0,90714960.0,-85606360.0,6364020.0,-926600.0,2642860.0,1344800.0,5605520.0,-3173400.0,154160.0
"v,l",-348912858.0,367636662.0,15032364.0,16526030.0,12010852.0,2355002.0,365189374.0,-352679494.0,-6671936.0,14950332.0,-14673474.0,13200316.0,1633804.0,4716840.0,-502446.0,758796.0,10130952.0,6706116.0,9929290.0,11481062.0,30553502.0,-340774600.0,359313832.0,-4993698.0,7854564.0,12807246.0,-19933776.0,378126504.0,-356832364.0,26527098.0,-3862340.0,11016214.0,5605520.0,23365448.0,-13227660.0,642584.0
"v,r",197526735.0,-208126665.0,-8510130.0,-9355725.0,-6799590.0,-1333215.0,-206741205.0,199659105.0,3777120.0,-8463690.0,8306955.0,-7472970.0,-924930.0,-2670300.0,284445.0,-429570.0,-5735340.0,-3796470.0,-5621175.0,-6499665.0,-17296965.0,192919500.0,-203414940.0,2827035.0,-4446630.0,-7250445.0,11284920.0,-214065180.0,202010130.0,-15017535.0,2186550.0,-6236505.0,-3173400.0,-13227660.0,7488450.0,-363780.0
"v,v",-9595614.0,10110546.0,413412.0,454490.0,330316.0,64766.0,10043242.0,-9699202.0,-183488.0,411156.0,-403542.0,363028.0,44932.0,129720.0,-13818.0,20868.0,278616.0,184428.0,273070.0,315746.0,840266.0,-9371800.0,9881656.0,-137334.0,216012.0,352218.0,-548208.0,10399032.0,-9813412.0,729534.0,-106220.0,302962.0,154160.0,642584.0,-363780.0,17672.0
