,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"d,d",0.5835121492394947,0.5331751805289834,0.5308167453107979,0.533609694578497,0.5201203618236154,0.5491461120574759,0.5341636397002261,0.4188355353468598,0.4810852252727722,0.5806946754201802,0.627853127055152,0.445014273871773,0.5819048876252545,0.5038653450130774,1.0909090909090908,-0.5901480889060855,0.6475651056322143,0.4635830247240306,0.4837730985599991,0.5497493781892777,-0.5897948600611975,1.0908867242052307,0.501602184211067,0.5238183947653154,0.631685456938912,0.4705560350184072,0.5013087797510972,0.5384604843291142,1.0908863538495628,-0.5935585461501048,0.4411504182216387,0.5936004210612895,0.5723090933704101,0.5254813107244314,-0.5902242644349691,1.0908849835669143
"d,a",0.44888363193699166,0.5119927546453449,0.5143726274343352,0.5115375582643137,0.5251284986410395,0.49567607830465954,0.5110063202914696,0.6080341517756268,0.5631732305228238,0.4625152965478456,0.41064294469561874,0.596867939741868,0.46120864962541624,0.5411747399086378,-0.5901480889060855,1.090909090909091,0.38802825061114227,0.5797251801361892,0.5606306433486666,0.495068575033336,1.0909060300603701,-0.5909838735194258,0.5433482101929682,0.5212178354320235,0.4062549549835438,0.5731684216196848,0.5434042266012807,0.5062727638804291,-0.5877639126073775,1.0908928208323703,0.6003699297663665,0.4486358571260455,0.47134404588107676,0.5196092656003959,1.0909052181370542,-0.5914836447871921
"d,r",1.0784118489823635,1.082357965159545,1.0820413331356873,1.0823785309740115,1.0804243839922325,1.0845206649834345,1.0825200943780324,1.0478676523554882,1.0734178659256601,1.0878597189214978,1.090592909827946,1.0656785896102479,1.087951146457014,1.077680070860186,0.6475651056322143,0.38802825061114227,1.0909090909090913,1.0698009794871781,1.074010071372119,1.0845912500804225,0.38841383418951747,0.6467521625131991,1.0772197972273374,1.0809011788956109,1.0906307943312332,1.0712952640004008,1.0769408474052373,1.0828271751915137,0.6498468070028244,0.3842257580783732,1.064742831856854,1.088911409262857,1.087021693875856,1.0810978291870643,0.38793190147337453,0.6462884934913117
"d,l",1.070799904735581,1.0880514661786358,1.0882236262107012,1.0880114160761294,1.0890307625006426,1.0865545862435302,1.0879942751054987,1.0761631326751597,1.0907057589363758,1.0826547348334534,1.0743410496758101,1.090562414084836,1.0824700747315705,1.0899408034975364,0.4635830247240306,0.5797251801361892,1.0698009794871781,1.0909090909090908,1.0906397817634375,1.0865432333593796,0.580081665318153,0.4626741099632045,1.090045317868176,1.0884619502889634,1.07352694706714,1.090817329907186,1.0898596046899174,1.0872118713378738,0.466118235440045,0.5762629134122955,1.090438315977658,1.0807166098939218,1.0836290273688818,1.088484955496335,0.5796553911966991,0.46211577983346536
"a,h",1.0740538494674365,1.0894264188717966,1.0895592290894596,1.0894113813477857,1.0901134399926926,1.0883501052951923,1.0894042918873876,1.075711365635972,1.0908824949689275,1.0851709303437955,1.0780029273107843,1.0899761635151353,1.0850198345389053,1.0906321257108056,0.4837730985599991,0.5606306433486666,1.074010071372119,1.0906397817634375,1.0909090909090908,1.0883069182883438,0.5609841953019885,0.4828506659918222,1.0906332954145177,1.0896878220881472,1.0772473856968852,1.0907257434585793,1.0904010839695033,1.0886935095872776,0.4862841985256894,0.5571277702281023,1.0897448334697253,1.0835464311394063,1.0859978802449306,1.089739181274616,0.5605542424457703,0.4823182409816436
"a,v",1.0795463895561839,1.0906844566995868,1.0906388338193196,1.0906579814539352,1.0903466547670548,1.0908465264614493,1.0907409706942974,1.0686805142019817,1.0880623691758853,1.090255213839961,1.0869356509206864,1.0844625804865813,1.0901935648643548,1.0895846110213565,0.5497493781892777,0.495068575033336,1.0845912500804225,1.0865432333593796,1.0883069182883438,1.0909090909090908,0.4954382833766569,0.5488988161284288,1.0894637863042957,1.0902726525188235,1.0865222600617799,1.0871801138801283,1.0892730925408518,1.0904879870452906,0.5521971910289477,0.49143399700324686,1.08399617135722,1.0896827379512772,1.0903942216678382,1.090369261417973,0.4949867816303926,0.5483797825317857
"a,d",0.44916671231978195,0.5123729873410471,0.5147432227957267,0.511913130521569,0.5255004059843665,0.4960516038200076,0.5113770496028709,0.6082496033345846,0.5635266212197534,0.4629015060690705,0.41103573189623077,0.5972240182810266,0.4616049120582691,0.541540568544361,-0.5897948600611975,1.0909060300603701,0.38841383418951747,0.580081665318153,0.5609841953019885,0.4954382833766569,1.0909090909090908,-0.5906318446374581,0.5437182772938306,0.5215966341451213,0.4066374995308738,0.5735335464662864,0.5437727587392862,0.5066541506981115,-0.5874106681621462,1.0908930099190377,0.6007170482531292,0.4490137858377144,0.4717149780541525,0.5199631733511558,1.0909061821152726,-0.5911312286763986
"a,a",0.5829344339628695,0.5322827141282834,0.5299329125302737,0.532673746975932,0.5192217155069642,0.5482533588831094,0.5332827191510708,0.4183591355736169,0.48014490229901713,0.5798785282682734,0.6270351408140146,0.44411274321597055,0.5810742630632453,0.5029299527545615,1.0908867242052307,-0.5909838735194258,0.6467521625131991,0.4626741099632045,0.4828506659918222,0.5488988161284288,-0.5906318446374581,1.0909090909090913,0.500708997008092,0.5229931023626775,0.6308813667993789,0.4696520145815405,0.5005040615612262,0.5377160970495531,1.0908970490113699,-0.5943939053014706,0.44029571901225845,0.5927849537119703,0.5714529930770461,0.5245377096057756,-0.591061667537648,1.0909041100986083
"a,r",1.074824713167182,1.0902308108280612,1.0902536132316378,1.090210892137358,1.0906303730235594,1.089428275147523,1.090218092090574,1.0730806056399418,1.0905784945769115,1.0869486134572757,1.0808433572599923,1.0888644433100283,1.0868485419845526,1.0908347153131208,0.501602184211067,0.5433482101929682,1.0772197972273374,1.090045317868176,1.0906332954145177,1.0894637863042957,0.5437182772938306,0.500708997008092,1.0909090909090908,1.090212409587614,1.0802049391987074,1.0903178722206275,1.0907397821619225,1.0895651055285869,0.504083917943095,0.5398312148958022,1.0885900135839217,1.085631799935802,1.0875066882827196,1.0903889991444966,0.5432864823661044,0.5001556827460092
"a,l",1.0779222313083645,1.0906539030935396,1.0907078891680186,1.090473737545555,1.0906989621489216,1.0903270745504472,1.0906104597230326,1.072292491372722,1.0894126671178415,1.0888152695604891,1.0838255292569252,1.0872714964670274,1.088709312746778,1.0903384123240463,0.5238183947653154,0.5212178354320235,1.0809011788956109,1.0884619502889634,1.0896878220881472,1.0902726525188235,0.5215966341451213,0.5229931023626775,1.090212409587614,1.0909090909090908,1.0831088816530414,1.0890417849268652,1.0900211615233768,1.090580328902264,0.5263827751828816,0.5176731097756175,1.0869493810721438,1.0877243736275106,1.089321033330563,1.0903175109799912,0.5211169474188648,0.522510385982171
