,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"a,d",0.4497328768440956,0.5127045638325393,0.5150718078998489,0.5122469811501433,0.5258067157740606,0.4964183744335933,0.5117145891062657,0.6085493456417828,0.5636818122928671,0.46332601571004256,0.4115162636262666,0.5973671269950142,0.46207038129354283,0.5417568710068668,-0.5889858141767973,1.090633518830584,0.38891914355618434,0.5802266857973138,0.5611418868778316,0.49580837057174565,1.0909090909090908,-0.5899695352673393,0.5439387821057007,0.5219029224714407,0.4071318177460519,0.5736803902538683,0.5440009077223712,0.5069818702958586,-0.5865287339929776,1.0906250779103845,0.6008645574752249,0.44949672461840706,0.4721262437029444,0.5203131021261773,1.0906366077710758,-0.5904637969642402
"a,a",0.5830448349767957,0.5326835126584115,0.5303389909609251,0.5331005209901357,0.5196584921565066,0.5486230868700178,0.5336792667794059,0.4187060895317819,0.4807097580171247,0.5801490240625726,0.627240547237681,0.44466630864702517,0.5812814094268242,0.5034489486105864,1.0907856700234588,-0.5904040478688095,0.646955928603512,0.4632198654506009,0.48340944990258905,0.549242726598586,-0.5899695352673393,1.0909090909090913,0.5011942695402442,0.5233967445312584,0.6310652897720668,0.4701973160387637,0.5009316222862434,0.5380370105332957,1.0909011513919302,-0.5938067057306241,0.44082490014849807,0.592979830917721,0.5717831257445422,0.5249769837752711,-0.5904781801213792,1.0904737449543367
"a,r",1.07615793696235,1.0897247284614018,1.0898434861366022,1.0896855844848354,1.0902086828092075,1.0890056999546092,1.0897357125873586,1.0744571572805885,1.0900443186381144,1.0867349420725956,1.0805564326614778,1.0885385312430413,1.0866014983318304,1.0903135540726416,0.501976349885999,0.5436197604964941,1.0770119156548594,1.0894865550944581,1.090159942703853,1.0889741450023398,0.5439387821057007,0.5011942695402442,1.0909090909090908,1.0899702806494225,1.0798671846507477,1.089738945396908,1.090133574767558,1.089274301331078,0.5045006486663027,0.5400678253996173,1.0882463645691316,1.0853613548289656,1.0873530237379683,1.0898113000869576,0.5435344791028329,0.5006801125853859
"a,l",1.0787997363536093,1.0902698946653575,1.0903051137693458,1.0902209686294109,1.090366296419437,1.0899704274057354,1.0902952016913852,1.0728233895763064,1.0892931015006717,1.0884781189298245,1.0836270997378836,1.0868252296134973,1.0883803701784143,1.0900633244308815,0.5241946699474249,0.5215824649622096,1.0806135363294311,1.0882450070630145,1.0894564397268502,1.0899612720892093,0.5219029224714407,0.5233967445312584,1.0899702806494225,1.0909090909090908,1.083030462801751,1.0886374655660833,1.0898590222898608,1.0900017881901054,0.5266610595886144,0.517976798546663,1.0864606084862238,1.0874576002328418,1.0888697947499821,1.090113755144913,0.521495535243133,0.5228857630918109
"r,h",1.0792610593508654,1.0843137856431098,1.0840305137890955,1.0843296026294054,1.082675748895559,1.0861241210240942,1.0844535011564251,1.051946076835009,1.076439646708078,1.0889056584884234,1.0906154395656316,1.0693982596397773,1.0889665105127446,1.0802529457223469,0.6318122250341263,0.406779524474278,1.090438597684992,1.073195057941497,1.0769621517074888,1.0861882512915306,0.4071318177460519,0.6310652897720668,1.0798671846507477,1.083030462801751,1.0909090909090908,1.0745288005146887,1.0796638773917433,1.0846985374026363,0.6341120158837734,0.4029976962274071,1.0685241656548166,1.0896545548836296,1.088169553338504,1.0831539101739964,0.4066944562010699,0.6305878387847417
"r,v",1.0726311847073124,1.08805467075946,1.0882530875757843,1.087990302177108,1.0890070409062136,1.0867510828619475,1.0880256411913543,1.0767762421395024,1.0902491972043324,1.0833236013382144,1.0753710444511184,1.0899968884463462,1.083148795327625,1.0896936939993715,0.4709884577086435,0.5733687721961586,1.0710592627538627,1.0902977113004186,1.090266139340263,1.0867008694629534,0.5736803902538683,0.4701973160387637,1.089738945396908,1.0886374655660833,1.0745288005146887,1.0909090909090908,1.0896150354588658,1.0874109726744,0.4735549974621164,0.569879261293095,1.0898480594599738,1.0814726692038799,1.084254286756389,1.0884141075974352,0.5732840825887024,0.46967507668214525
"r,d",1.076749858302009,1.0895748476587235,1.089718165338168,1.0895439200550276,1.090056930451991,1.088887631392084,1.0896229995142814,1.0752071782956372,1.0899501571343617,1.0865501218780313,1.0803419258886648,1.088490969839375,1.0864082274402773,1.090157485764501,0.5017473669206791,0.5436827687180583,1.0768145737190076,1.0893895433323841,1.0900821954790303,1.088874018013684,0.5440009077223712,0.5009316222862434,1.090133574767558,1.0898590222898608,1.0796638773917433,1.0896150354588658,1.0909090909090913,1.089238883052194,0.5042414380630942,0.5401291961516819,1.0882124326396283,1.0851672554072287,1.087157671234654,1.0896735444914674,0.5435986307433941,0.5004215979133194
"r,a",1.0809228510518807,1.0901576195603417,1.0901709904187453,1.0901152759429587,1.0900196618623648,1.0901751159169368,1.0902379809180003,1.072351587501934,1.088304250107357,1.0892129470314604,1.0852066498117776,1.085277277350071,1.0891196282397166,1.0893990201882673,0.5388514461675569,0.506663030442581,1.0825886564683227,1.086945547475835,1.0885358960969318,1.0901980304435748,0.5069818702958586,0.5380370105332957,1.089274301331078,1.0900017881901054,1.0846985374026363,1.0874109726744,1.089238883052194,1.0909090909090908,0.5412812976648891,0.5030152384712523,1.0848562242719777,1.0884130367276856,1.0894293126348757,1.089863271491664,0.5065778946700374,0.5375390551181707
"r,r",0.5861930648414937,0.5359345067543624,0.533593174313346,0.5363492758920494,0.5229297059608442,0.551843882124514,0.5369287470367994,0.4221342851886971,0.48405451039085445,0.5833027816975425,0.630296565107433,0.4480638610089454,0.5844324843303943,0.5067495718481834,1.0912158323992596,-0.5869627038751442,0.649963538709986,0.4665913213761829,0.4867484043579371,0.5524642345984229,-0.5865287339929776,1.0909011513919302,0.5045006486663027,0.5266610595886144,0.6341120158837734,0.4735549974621164,0.5042414380630942,0.5412812976648891,1.090909090909091,-0.5903711915844916,0.44423142703561946,0.5961076653141097,0.5749510669569604,0.5282392714674173,-0.587037118842574,1.0909049664568782
"r,l",0.445675926260228,0.5087555878974747,0.5111293994725616,0.508299633769749,0.5218919201422159,0.4924359752552844,0.5077634387454124,0.6048242361277485,0.559855693102694,0.45928972642242255,0.4073907394154462,0.5936217252281701,0.45803280132827895,0.5378814181961784,-0.5928234830853506,1.090476618722608,0.3847547604575938,0.5764404963584853,0.5573076478820512,0.4918230695403215,1.0906250779103845,-0.5938067057306241,0.5400678253996173,0.517976798546663,0.4029976962274071,0.569879261293095,0.5401291961516819,0.5030152384712523,-0.5903711915844916,1.0909090909090908,0.5971283470150663,0.4454356009846341,0.46810860835052126,0.516384045342816,1.0904806200781794,-0.5942999041719792
"l,h",1.069514006809944,1.0855372628629103,1.0858174708541113,1.08543482387501,1.0868942524301994,1.0837119191549967,1.08549976755008,1.0793331873451744,1.0895174074502143,1.079119457119965,1.0695058585754658,1.090478803181667,1.0788953553826992,1.0881064651183845,0.44163971070829044,0.6005560964164367,1.0644924185115392,1.0901185705195822,1.0894641302760326,1.083671592175941,0.6008645574752249,0.44082490014849807,1.0882463645691316,1.0864606084862238,1.0685241656548166,1.0898480594599738,1.0882124326396283,1.0848562242719777,0.44423142703561946,0.5971283470150663,1.0909090909090913,1.0768151842029838,1.0803206890269337,1.0861418579126325,0.6004799347279717,0.44030016714850095
"l,v",1.0805093895647093,1.088301469606562,1.0881267654359916,1.0882919442153425,1.087285818920954,1.089337522089933,1.0883885311315793,1.0608503145825432,1.082907214649337,1.090567767061902,1.0899000482657755,1.0775076776041934,1.0905757994297272,1.085640740127464,0.5937482492879225,0.44915195537761055,1.0886893446287447,1.0804626914029347,1.0832965878379563,1.0893711166648605,0.44949672461840706,0.592979830917721,1.0853613548289656,1.0874576002328418,1.0896545548836296,1.0814726692038799,1.0851672554072287,1.0884130367276856,0.5961076653141097,0.4454356009846341,1.0768151842029838,1.0909090909090908,1.090248467811088,1.0875025236331308,0.4490671238306869,0.5924869242216906
"l,d",1.0801047949589835,1.0894944446888508,1.0893589083941537,1.0894518031469138,1.0887993901324093,1.090088920278584,1.0895311189877552,1.0646478188235127,1.0854265302952815,1.0904822894963753,1.0885303661561205,1.080915241024691,1.0904645708100842,1.0875765029448554,0.572546469842633,0.47178345162383556,1.0867539566320414,1.0834175877131897,1.085739454249416,1.0901035959876375,0.4721262437029444,0.5717831257445422,1.0873530237379683,1.0888697947499821,1.088169553338504,1.084254286756389,1.087157671234654,1.0894293126348757,0.5749510669569604,0.46810860835052126,1.0803206890269337,1.090248467811088,1.0909090909090913,1.0888730207219015,0.47170084002504953,0.5712806762956693
"l,a",1.0784543832029718,1.0901546992299531,1.090198565453445,1.0901261072162007,1.090259958593049,1.0898816308653614,1.0901880403591875,1.0721184607459855,1.089035570607506,1.0885089914867585,1.0837398128922935,1.0865415126474312,1.0884020604895819,1.0899159754686996,0.5257250872077133,0.5199794834152649,1.0807674956083386,1.0879922093149728,1.0892241042563031,1.089863848294693,0.5203131021261773,0.5249769837752711,1.0898113000869576,1.090113755144913,1.0831539101739964,1.0884141075974352,1.0896735444914674,1.089863271491664,0.5282392714674173,0.516384045342816,1.0861418579126325,1.0875025236331308,1.0888730207219015,1.0909090909090913,0.5199048472591972,0.5244675278305362
"l,r",0.4493535948259318,0.5122929248304938,0.5146636070326579,0.511837505851053,0.525398129157427,0.49600627620283655,0.5113066268478026,0.6082136315518272,0.5632834448080895,0.46290057578623645,0.41107861451803474,0.5969818741054811,0.4616431439194569,0.5413513522783706,-0.5894944520818637,1.090487260459599,0.3884789487787821,0.5798336392838801,0.5607455008724682,0.495397267840575,1.0906366077710758,-0.5904781801213792,0.5435344791028329,0.521495535243133,0.4066944562010699,0.5732840825887024,0.5435986307433941,0.5065778946700374,-0.587037118842574,1.0904806200781794,0.6004799347279717,0.4490671238306869,0.47170084002504953,0.5199048472591972,1.090909090909091,-0.5909723062283906
"l,l",0.5826012956330546,0.5321789802432466,0.5298322077354509,0.53259425725691,0.5191455070045453,0.5481228235337574,0.5331750433967644,0.4182197355872809,0.4801954497505321,0.579651227569449,0.6267621073455036,0.4441389695651231,0.5807837611788421,0.5029331741779961,1.0907894268802374,-0.5908980385105678,0.646481973479226,0.46269902204627034,0.48289430396998356,0.5487447338134483,-0.5904637969642402,1.0904737449543367,0.5006801125853859,0.5228857630918109,0.6305878387847417,0.46967507668214525,0.5004215979133194,0.5375390551181707,1.0909049664568782,-0.5942999041719792,0.44030016714850095,0.5924869242216906,0.5712806762956693,0.5244675278305362,-0.5909723062283906,1.090909090909091
