time_s,counts
0.47085,29.0
0.4709,36.0
0.47095,32.0
0.47565,32.0
0.4757,38.0
0.47575,38.0
0.4758,39.0
0.47585,29.0
0.4759,41.0
0.47595,36.0
0.48065,27.0
0.4807,48.0
0.48075,36.0
0.4808,46.0
0.48085,34.0
0.4809,46.0
0.48095,29.0
0.48565,31.0
0.4857,32.0
0.48575,50.0
0.4858,36.0
0.48585,47.0
0.4859,29.0
0.48595,38.0
0.49065,45.0
0.4907,31.0
0.49075,47.0
0.4908,38.0
0.49085,38.0
0.4909,31.0
0.49095,42.0
0.49565,42.0
0.4957,38.0
0.49575,40.0
0.4958,41.0
0.49585,28.0
0.4959,32.0
0.49595,26.0
0.50065,28.0
0.5007,34.0
0.50075,36.0
0.5008,42.0
0.50085,38.0
0.5009,45.0
0.50095,36.0
0.50565,37.0
0.5057,37.0
0.50575,46.0
0.5058,37.0
0.50585,30.0
0.5059,39.0
0.50595,32.0
0.51065,47.0
0.5107,37.0
0.51075,40.0
0.5108,34.0
0.51085,41.0
0.5109,40.0
0.51095,35.0
0.51565,36.0
0.5157,31.0
0.51575,42.0
0.5158,30.0
0.51585,31.0
0.5159,42.0
0.51595,31.0
0.52065,40.0
0.5207,41.0
0.52075,37.0
0.5208,32.0
0.52085,45.0
0.5209,45.0
0.52095,28.0
0.52565,42.0
0.5257,43.0
0.52575,32.0
0.5258,38.0
0.52585,27.0
0.5259,42.0
0.52595,23.0
0.53065,29.0
0.5307,37.0
0.53075,34.0
0.5308,35.0
0.53085,41.0
0.5309,37.0
0.5356,21.0
0.53565,38.0
0.5357,38.0
0.53575,44.0
0.5358,35.0
0.53585,38.0
0.5359,38.0
0.53595,25.0
0.5406,24.0
0.54065,56.0
0.5407,34.0
0.54075,38.0
0.5408,34.0
0.54085,41.0
0.5409,31.0
0.54565,28.0
0.5457,37.0
0.54575,29.0
0.5458,36.0
0.54585,36.0
0.5459,28.0
0.54595,30.0
0.5506,29.0
0.55065,34.0
0.5507,34.0
0.55075,42.0
0.5508,37.0
0.55085,45.0
0.5509,43.0
0.55565,41.0
0.5557,40.0
0.55575,41.0
0.5558,41.0
0.55585,35.0
0.5559,38.0
0.5606,31.0
0.56065,32.0
0.5607,27.0
0.56075,35.0
0.5608,25.0
0.56085,43.0
0.5609,33.0
0.5656,25.0
0.56565,38.0
0.5657,41.0
0.56575,34.0
0.5658,30.0
0.56585,39.0
0.5659,33.0
0.5706,33.0
0.57065,49.0
0.5707,37.0
0.57075,40.0
0.5708,29.0
0.57085,38.0
0.5709,37.0
0.5756,54.0
0.57565,29.0
0.5757,43.0
0.57575,33.0
0.5758,37.0
0.57585,27.0
0.5759,45.0
0.5806,34.0
0.58065,22.0
0.5807,37.0
0.58075,23.0
0.5808,34.0
0.58085,43.0
0.5809,35.0
0.5856,42.0
0.58565,39.0
0.5857,39.0
0.58575,34.0
0.5858,37.0
0.58585,44.0
0.5859,38.0
0.5906,41.0
0.59065,39.0
0.5907,42.0
0.59075,33.0
0.5908,51.0
0.59085,24.0
0.5909,35.0
0.5956,51.0
0.59565,37.0
0.5957,38.0
0.59575,45.0
0.5958,37.0
0.59585,32.0
0.5959,40.0
0.6006,38.0
0.60065,32.0
0.6007,46.0
0.60075,34.0
0.6008,35.0
0.60085,30.0
0.6009,36.0
0.6056,33.0
0.60565,35.0
0.6057,40.0
0.60575,42.0
0.6058,42.0
0.60585,34.0
0.6059,30.0
0.6106,33.0
0.61065,39.0
0.6107,42.0
0.61075,46.0
0.6108,39.0
0.61085,43.0
0.6109,33.0
0.6156,39.0
0.61565,33.0
0.6157,37.0
0.61575,34.0
0.6158,34.0
0.61585,46.0
0.6159,30.0
0.6206,37.0
0.62065,46.0
0.6207,41.0
0.62075,45.0
0.6208,32.0
0.62085,41.0
0.6209,37.0
0.62555,23.0
0.6256,43.0
0.62565,43.0
0.6257,39.0
0.62575,25.0
0.6258,46.0
0.62585,34.0
0.6259,22.0
0.6306,39.0
0.63065,18.0
0.6307,39.0
0.63075,35.0
0.6308,33.0
0.63085,33.0
0.6309,28.0
0.63555,21.0
0.6356,32.0
0.63565,42.0
0.6357,34.0
0.63575,32.0
0.6358,41.0
0.63585,32.0
0.6359,22.0
0.6406,39.0
0.64065,46.0
0.6407,53.0
0.64075,35.0
0.6408,31.0
0.64085,41.0
0.64555,22.0
0.6456,29.0
0.64565,27.0
0.6457,44.0
0.64575,57.0
0.6458,45.0
0.64585,29.0
0.6459,31.0
0.65055,34.0
0.6506,32.0
0.65065,38.0
0.6507,37.0
0.65075,43.0
0.6508,39.0
0.65085,31.0
0.65555,26.0
0.6556,34.0
0.65565,42.0
0.6557,42.0
0.65575,38.0
0.6558,37.0
0.65585,26.0
0.66055,33.0
0.6606,36.0
0.66065,45.0
0.6607,32.0
0.66075,33.0
0.6608,40.0
0.66085,28.0
0.66555,38.0
0.6656,32.0
0.66565,40.0
0.6657,46.0
0.66575,40.0
0.6658,33.0
0.66585,38.0
0.67055,38.0
0.6706,36.0
0.67065,32.0
0.6707,41.0
0.67075,26.0
0.6708,42.0
0.67085,38.0
0.67555,36.0
0.6756,46.0
0.67565,39.0
0.6757,33.0
0.67575,32.0
0.6758,40.0
0.67585,39.0
0.68055,46.0
0.6806,39.0
0.68065,37.0
