# Time,Pump,Signal,Idler,Depletion_pct
1.015151515151515227e+01,7.842905563951767522e-01,1.652279024051214629e+00,1.652279024051214851e+00,6.940471995535885696e+01
1.030303030303030276e+01,8.332087822745561922e-01,1.601515611148770946e+00,1.601515611148770946e+00,6.749641338726024742e+01
1.045454545454545503e+01,8.829635129730707410e-01,1.549917090766785410e+00,1.549917090766785410e+00,6.555547465370784721e+01
1.060606060606060552e+01,9.332650528431940540e-01,1.497773157494597385e+00,1.497773157494597385e+00,6.359320482085821880e+01
1.075757575757575779e+01,9.838361594029372270e-01,1.445361052756805709e+00,1.445361052756805709e+00,6.162041915520609336e+01
1.090909090909091006e+01,1.034413573153821320e+00,1.392944034995301950e+00,1.392944034995301950e+00,5.964738744517963198e+01
1.106060606060606055e+01,1.084750232618555410e+00,1.340769164631590460e+00,1.340769164631590460e+00,5.768374759222277959e+01
1.121212121212121282e+01,1.134615944518696073e+00,1.289066633889125679e+00,1.289066633889125679e+00,5.573847946707468282e+01
1.136363636363636331e+01,1.183798616262115022e+00,1.238048534305846937e+00,1.238048534305846715e+00,5.381985683026792344e+01
1.151515151515151558e+01,1.232105114145559899e+00,1.187907998531615439e+00,1.187907998531615439e+00,5.193541385353115203e+01
1.166666666666666785e+01,1.279361370456660651e+00,1.138819093226209889e+00,1.138819093226209889e+00,5.009194094172553235e+01
1.181818181818181834e+01,1.325413007107443697e+00,1.090936195425806332e+00,1.090936195425806554e+00,4.829546040481742608e+01
1.196969696969697061e+01,1.370124524740943484e+00,1.044394803436373032e+00,1.044394803436373032e+00,4.655125809093852496e+01
1.212121212121212110e+01,1.413379589232119260e+00,9.993112503327461482e-01,9.993112503327461482e-01,4.486387220994657810e+01
1.227272727272727337e+01,1.455080185196067077e+00,9.557835504504202939e-01,9.557835504504201829e-01,4.323712635518383962e+01
1.242424242424242387e+01,1.495145969241338024e+00,9.138920461322324051e-01,9.138920461322324051e-01,4.167415473315205787e+01
1.257575757575757613e+01,1.533513459352291441e+00,8.737002183460051974e-01,8.737002183460051974e-01,4.017743378581586455e+01
1.272727272727272840e+01,1.570134707480534741e+00,8.352560140931019061e-01,8.352560140931019061e-01,3.874883397298916776e+01
1.287878787878787890e+01,1.604976475394081614e+00,7.985926705592787389e-01,7.985926705592787389e-01,3.738965192257028747e+01
1.303030303030303116e+01,1.638018709987197230e+00,7.637302398048291252e-01,7.637302398048291252e-01,3.610066990890987881e+01
1.318181818181818166e+01,1.669253333783541127e+00,7.306767982614440493e-01,7.306767982614439383e-01,3.488220303544589740e+01
1.333333333333333393e+01,1.698682775393164146e+00,6.994299162752151133e-01,6.994299162752151133e-01,3.373415656177377286e+01
1.348484848484848442e+01,1.726318508348712255e+00,6.699781192704292732e-01,6.699781192704292732e-01,3.265608290384248846e+01
1.363636363636363669e+01,1.752179686381551083e+00,6.423022524734441907e-01,6.423022524734441907e-01,3.164723487201644403e+01
1.378787878787878896e+01,1.776291560110238033e+00,6.163770642242140108e-01,6.163770642242140108e-01,3.070662743627103808e+01
1.393939393939393945e+01,1.798683979030846203e+00,5.921727039859651098e-01,5.921727039859649988e-01,2.983309616375150952e+01
1.409090909090909172e+01,1.819390106710281785e+00,5.696560071518810275e-01,5.696560071518810275e-01,2.902534733925435262e+01
1.424242424242424221e+01,1.838444928369680653e+00,5.487919874617016580e-01,5.487919874617016580e-01,2.828201618459965516e+01
1.439393939393939448e+01,1.855883914409629742e+00,5.295451734765042051e-01,5.295451734765042051e-01,2.760171899469189682e+01
1.454545454545454675e+01,1.871741848371838657e+00,5.118807806170271313e-01,5.118807806170271313e-01,2.698309885889270632e+01
1.469696969696969724e+01,1.886051621690982838e+00,4.957659164118317086e-01,4.957659164118317086e-01,2.642487267791348060e+01
1.484848484848484951e+01,1.898843163441448878e+00,4.811706507505506547e-01,4.811706507505506547e-01,2.592587291453875409e+01
1.500000000000000000e+01,1.910142578931053103e+00,4.680688772901727135e-01,4.680688772901727135e-01,2.548508119720101917e+01
