# Time,Pump,Signal,Idler,Depletion_pct
1.131313131313131315e+01,1.659428456649916228e+00,5.948232796356585084e-01,5.948232796356585084e-01,2.884319675665034666e+01
1.151515151515151558e+01,1.581495791027846654e+00,6.713901460045889058e-01,6.713901460045889058e-01,3.218497345794580156e+01
1.171717171717171624e+01,1.499960161242549272e+00,7.515608040430852288e-01,7.515608040430852288e-01,3.568124637209590588e+01
1.191919191919191867e+01,1.416474517989509296e+00,8.336823025542975385e-01,8.336823025542974275e-01,3.926113646425087467e+01
1.212121212121212110e+01,1.332696609333833049e+00,9.160968929720517684e-01,9.160968929720517684e-01,4.285355898687422638e+01
1.232323232323232354e+01,1.250225570120158558e+00,9.972054399509528988e-01,9.972054399509528988e-01,4.638994254537315243e+01
1.252525252525252419e+01,1.170555343715051322e+00,1.075513999623978423e+00,1.075513999623978423e+00,4.980622638812837266e+01
1.272727272727272663e+01,1.095047355940933498e+00,1.149661145668555040e+00,1.149661145668555040e+00,5.304403215662234317e+01
1.292929292929292906e+01,1.024921529830899125e+00,1.218426954551735664e+00,1.218426954551735664e+00,5.605104917551982169e+01
1.313131313131313149e+01,9.612606473036242605e-01,1.280728643855298055e+00,1.280728643855298055e+00,5.878084742270448260e+01
1.333333333333333393e+01,9.050212256065978123e-01,1.335609695832509658e+00,1.335609695832509658e+00,6.119241114404382387e+01
1.353535353535353458e+01,8.570432565439821682e-01,1.382230118180265865e+00,1.382230118180266087e+00,6.324972123229929366e+01
1.373737373737373701e+01,8.180523548875189288e-01,1.419864295628183282e+00,1.419864295628183282e+00,6.492166310260498108e+01
1.393939393939393945e+01,7.886501759551722834e-01,1.447910572359964121e+00,1.447910572359964121e+00,6.618243758964641188e+01
1.414141414141414188e+01,7.692917682753827036e-01,1.465913899349128746e+00,1.465913899349128746e+00,6.701253207239152232e+01
1.434343434343434254e+01,7.602523963970346799e-01,1.473599011549059812e+00,1.473599011549059812e+00,6.740014312221623527e+01
1.454545454545454497e+01,7.615893507581251720e-01,1.470908618024327819e+00,1.470908618024327597e+00,6.734281410749662200e+01
1.474747474747474740e+01,7.731058948199927006e-01,1.458039454816461467e+00,1.458039454816461689e+00,6.684898115159559495e+01
1.494949494949494984e+01,7.943264889171162135e-01,1.435467061094156449e+00,1.435467061094156449e+00,6.593903554181355275e+01
1.515151515151515049e+01,8.244902602872472563e-01,1.403952309123127185e+00,1.403952309123126962e+00,6.464560373650697045e+01
1.535353535353535293e+01,8.625682393984680507e-01,1.364524167939068944e+00,1.364524167939068944e+00,6.301280826607643348e+01
1.555555555555555536e+01,9.073064164481250415e-01,1.318436646848704541e+00,1.318436646848704541e+00,6.109442145703295779e+01
1.575757575757575779e+01,9.572911000163812911e-01,1.267103436776242820e+00,1.267103436776243264e+00,5.895106283280643567e+01
1.595959595959595845e+01,1.011030800310764644e+00,1.212016027018832043e+00,1.212016027018832043e+00,5.664668793500345600e+01
1.616161616161616266e+01,1.067043574873766110e+00,1.154656359538955179e+00,1.154656359538955179e+00,5.424484291256725044e+01
1.636363636363636331e+01,1.123939831961983549e+00,1.096414025585284113e+00,1.096414025585284113e+00,5.180511388738069201e+01
1.656565656565656397e+01,1.180488802986454422e+00,1.038519793252358436e+00,1.038519793252358436e+00,4.938027659555459081e+01
1.676767676767676818e+01,1.235661572634926264e+00,9.820025773583026529e-01,9.820025773583025419e-01,4.701445124253353924e+01
1.696969696969696884e+01,1.288646790603809933e+00,9.276737277128767056e-01,9.276737277128767056e-01,4.474242877919136419e+01
1.717171717171717304e+01,1.338839767357413058e+00,8.761379333582441920e-01,8.761379333582440809e-01,4.259013847903313632e+01
1.737373737373737370e+01,1.385810348359611588e+00,8.278253483373012589e-01,8.278253483373013699e-01,4.057602550103424477e+01
1.757575757575757436e+01,1.429257500379540691e+00,7.830370053879803782e-01,7.830370053879802672e-01,3.871299824283759250e+01
1.777777777777777857e+01,1.468959531646232941e+00,7.419945957886193710e-01,7.419945957886193710e-01,3.701056291585240388e+01
1.797979797979797922e+01,1.504728514687162955e+00,7.048860465194074498e-01,7.048860465194073388e-01,3.547677790797295927e+01
1.818181818181817988e+01,1.536374420216738201e+00,6.719013863739013992e-01,6.719013863739015102e-01,3.411979173348512262e+01
1.838383838383838409e+01,1.563682585595579599e+00,6.432552774997445377e-01,6.432552774997443157e-01,3.294880919247099627e+01
1.858585858585858475e+01,1.586404109715118471e+00,6.191966205140665425e-01,6.191966205140666535e-01,3.197450324111527564e+01
1.878787878787878896e+01,1.604257678314116475e+00,6.000067291869621844e-01,6.000067291869622954e-01,3.120893672157079735e+01
1.898989898989898961e+01,1.616939428840878046e+00,5.859894655792861062e-01,5.859894655792861062e-01,3.066513935362895182e+01
1.919191919191919027e+01,1.624138356728513255e+00,5.774558337673787456e-01,5.774558337673787456e-01,3.035644710889206976e+01
1.939393939393939448e+01,1.625554802051097703e+00,5.747054931869161054e-01,5.747054931869161054e-01,3.029570949726427642e+01
1.959595959595959513e+01,1.620921613884692691e+00,5.780055942718855810e-01,5.780055942718854700e-01,3.049438203263339275e+01
1.979797979797979934e+01,1.610027802185484802e+00,5.875671265764423890e-01,5.875671265764423890e-01,3.096151203305267430e+01
2.000000000000000000e+01,1.592745560159140261e+00,6.035178964055659678e-01,6.035178964055659678e-01,3.170257989322134051e+01
